Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score,Rank
4020204877254599680,0.0031156081942259424,71998.8559530697,-0.08841828701899232,21338.051187779958,0.3294214876033058,1993,6050,23833.11162679834,1.0
3999240873283311617,0.005436734530219961,42574.473678790055,0.5915939409951826,300.81384848999915,0.5232198142414861,2366,4522,12920.869599285286,2.0
4021669203289716224,0.0040441957416849274,26427.331591779985,0.040750721635130605,2537.8666286099924,0.31391200951248516,528,1682,8208.41119939852,3.0
3960874214179953664,0.0023329625287420775,19567.47128569,0.11673289313303277,2233.99999999,0.5156838143036386,1233,2391,6155.3412163641,4.0
3907081197088384000,0.010992418198530567,18015.99737026003,0.784621841190495,2060.707122380003,0.6139714769156394,2540,4137,5738.060843983552,5.0
4028701921959171840,0.004064804887744703,17601.401398239996,0.6751517689997004,585.6775999300007,0.5429403202328966,373,687,5357.801576276277,6.0
3956076827719377409,0.01032229831016538,16790.01223802,0.6804580816657233,635.0500145299998,0.5155771195097038,2019,3916,5201.623640020801,7.0
3986814617275053313,0.008716283426330235,16337.461880640012,1.2887333027371308,2.3819474699994316,0.7822172200337648,2780,3554,5040.7762313455805,8.0
3788465932399412480,0.008368063722229296,13960.966456670043,0.2174628438676493,1772.2194397900003,0.44607363962202673,1369,3069,4434.0301876498825,9.0
4022565861939831809,0.002330795004708387,14197.577075890002,0.5974332059496777,385.0755536900001,0.5276595744680851,372,705,4316.527246994416,10.0
3987739404272887297,0.0055701338768610045,12464.606315399993,0.1517872923616305,3386.656093979994,0.22826446280991736,1381,6050,4147.140945739773,11.0
4008711265867865600,0.0030824034145865813,11298.706389769997,0.6577992533577031,509.5499999999993,0.4213197969543147,166,394,3449.020467492543,12.0
3931992636670880512,0.00571079625036539,10374.965289980013,0.4618778265322212,1651.1316999599999,0.40165289256198344,2430,6050,3399.2169284388137,13.0
3936410995029308417,0.01791053838734511,10681.514,0.5958155838947246,0.0,0.3,6,20,3204.893736278295,14.0
4031493134338259457,0.001158695729727135,9082.69828786,0.07525792700836854,3682.1097992,0.36156696664902066,683,1889,3127.203943820453,15.0
3962024093501274881,0.001459067814121951,9314.494060179999,0.06329244498288396,1828.4947021299995,0.26472898664571876,337,1273,2994.074020925673,16.0
3939318616482048768,0.010162799258193562,9775.389109840004,0.5635486621100196,87.00335997999991,0.3746031746031746,118,315,2947.3515576809305,17.0
3998572645139652353,0.004680313781948754,9603.585359879995,0.4472276568181959,214.71515507000004,0.35714285714285715,95,266,2907.4058302393537,18.0
4017263283405469185,0.0011458439798672428,7141.366419390012,-0.017035251788275467,4788.433923359992,0.336198347107438,2034,6050,2722.9670647731946,19.0
3942630767220672256,0.005463509212488154,6611.898480419987,0.19381735184271331,6083.72668798,0.3829744415375327,1903,4969,2687.1517641692053,20.0
